Achiever,Disruptor,Free.Spirit,Philanthropist,Player,Socialiser
26,11,25,25,18,23
23,15,23,25,20,26
23,19,24,24,22,23
24,16,24,27,23,23
23,18,22,22,18,20
18,19,16,23,23,17
21,17,22,21,18,28
25,19,26,28,16,24
18,15,21,16,19,20
21,11,21,22,18,26
24,17,24,24,25,22
26,14,23,27,19,21
25,17,24,22,23,26
23,17,25,26,19,27
22,15,19,26,18,24
24,19,25,22,24,26
22,18,20,24,20,21
23,16,24,22,25,24
23,14,21,25,20,24
27,16,26,26,28,20
22,11,25,22,19,21
21,16,22,20,25,21
23,22,25,26,28,28
24,17,23,18,23,24
20,13,22,20,24,21
16,16,17,16,16,15
19,13,24,25,17,15
20,19,26,23,19,25
24,17,15,25,20,22
24,23,23,22,22,25
24,21,24,25,28,26
19,19,24,21,19,23
21,17,22,23,19,23
21,14,24,18,27,25
16,15,21,22,25,21
20,15,24,20,20,23
24,16,24,25,19,23
28,14,26,26,14,17
21,13,21,22,19,23
27,12,24,27,16,25
19,16,21,20,25,21
18,17,23,26,20,25
27,10,24,25,12,27
23,14,24,23,18,23
24,12,23,24,19,25
18,15,26,24,23,28
17,10,24,21,19,19
18,16,22,22,24,22
24,22,26,13,16,11
21,22,24,22,23,22
24,19,24,25,20,27
26,18,26,27,21,27
26,11,21,25,25,25
16,16,19,19,21,16
20,22,26,25,26,28
19,12,21,23,13,16
28,11,24,28,25,27
23,9,18,25,17,22
21,12,19,21,20,21
22,13,21,23,23,22
27,11,27,27,17,25
21,13,19,20,21,20
26,22,22,26,28,24
22,17,23,20,17,23
19,13,21,19,16,25
22,12,24,23,17,26
26,28,28,28,21,28
21,11,24,23,13,25
27,14,24,25,18,27
22,16,24,21,18,22
14,13,21,18,8,18
18,14,19,21,20,18
24,18,21,23,12,19
18,18,22,22,23,25
27,6,22,27,10,22
22,15,23,22,20,24
24,9,21,25,13,26
21,15,16,19,16,14
25,15,23,26,15,27
17,14,14,11,21,6
25,16,23,22,24,19
27,14,22,25,16,27
24,9,26,25,13,15
22,18,23,21,19,23
16,20,21,19,18,14
19,10,20,25,21,25
26,23,27,26,18,18
18,17,23,18,12,18
26,13,21,19,18,21
17,17,28,28,18,25
24,14,22,20,17,25
22,19,23,22,20,24
16,10,22,28,22,25
23,8,10,18,16,19
20,17,23,21,21,23
